"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5695","Verify the logo","chromium","2026-01-14","passed","2026-01-14","","Reporter.spec.ts","",""
"","8022","Verify the logo","firefox","2026-01-14","passed","2026-01-14","","Reporter.spec.ts","",""
"","7546","Verify the title of the page","chromium","2026-01-14","passed","2026-01-14","","Reporter.spec.ts","",""
"","7643","Verify the logo","webkit","2026-01-14","passed","2026-01-14","","Reporter.spec.ts","",""
"","7597","Verify the title of the page","webkit","2026-01-14","passed","2026-01-14","","Reporter.spec.ts","",""
"","9910","Search Functionality Test","firefox","2026-01-14","failed","2026-01-14","","Reporter.spec.ts","",""
"","9872","Search Functionality Test","chromium","2026-01-14","failed","2026-01-14","","Reporter.spec.ts","",""
"","9297","Search Functionality Test","webkit","2026-01-14","failed","2026-01-14","","Reporter.spec.ts","",""
"","7213","Verify the title of the page","firefox","2026-01-14","passed","2026-01-14","","Reporter.spec.ts","",""
